2024-10-04 14:02:34 [http-nio-8080-exec-7] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 161 ms
2024-10-04 14:02:34 [http-nio-8080-exec-7] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: cf0cc508-83b9-42ca-9d93-0ae225b30c52 | Response status: 200
2024-10-04 14:02:34 [http-nio-8080-exec-7] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: cf0cc508-83b9-42ca-9d93-0ae225b30c52 completed.
2024-10-04 14:02:45 [http-nio-8080-exec-8] INFO  c.d.f.trainsaction.TransactionFilter - Starting transaction with ID: bdcbf18c-9783-4c13-bfae-dc6c85016e24
2024-10-04 14:02:45 [http-nio-8080-exec-8] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: bdcbf18c-9783-4c13-bfae-dc6c85016e24 | Incoming request: POST /api/trainees
2024-10-04 14:02:45 [http-nio-8080-exec-8] INFO  c.demo.folder.service.TraineeService - Creating new Trainee with first name: A
2024-10-04 14:02:45 [http-nio-8080-exec-8] INFO  c.demo.folder.service.TraineeService - Creating new Trainee with username: A.B-abfd2c27
2024-10-04 14:02:45 [http-nio-8080-exec-8] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: bdcbf18c-9783-4c13-bfae-dc6c85016e24 | Response status: 201
2024-10-04 14:02:45 [http-nio-8080-exec-8] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: bdcbf18c-9783-4c13-bfae-dc6c85016e24 completed.
2024-10-04 14:03:03 [http-nio-8080-exec-9] INFO  c.d.f.s.CustomUserDetailsService - LoadUserByUsername called with username: A.B-abfd2c27
2024-10-04 14:03:03 [http-nio-8080-exec-9] INFO  c.demo.folder.service.TrainerService - Finding Trainer by username: A.B-abfd2c27
2024-10-04 14:03:03 [http-nio-8080-exec-9] INFO  c.demo.folder.service.TrainerService - Trainer with username A.B-abfd2c27 not found.
2024-10-04 14:03:03 [http-nio-8080-exec-9] INFO  c.demo.folder.service.TraineeService - Finding Trainee by username: A.B-abfd2c27
2024-10-04 14:03:03 [http-nio-8080-exec-9] INFO  c.d.f.s.CustomUserDetailsService - Trainee found, returning UserDetails for trainee: A.B-abfd2c27
2024-10-04 14:03:18 [http-nio-8080-exec-10] INFO  c.d.f.trainsaction.TransactionFilter - Starting transaction with ID: d9cc47a4-a5cf-4da8-9e11-6324e86f37cf
2024-10-04 14:03:18 [http-nio-8080-exec-10] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: d9cc47a4-a5cf-4da8-9e11-6324e86f37cf | Incoming request: PUT /api/login/change-login
2024-10-04 14:03:18 [http-nio-8080-exec-10] INFO  com.demo.folder.service.UserService - Authenticating user with username: A.B-abfd2c27
2024-10-04 14:03:19 [http-nio-8080-exec-10] INFO  com.demo.folder.service.UserService - Authentication successful for username: A.B-abfd2c27
2024-10-04 14:03:19 [http-nio-8080-exec-10] INFO  com.demo.folder.service.UserService - Updating password for user: A.B-abfd2c27
2024-10-04 14:03:19 [http-nio-8080-exec-10] INFO  c.d.f.c.i.LoginController - Password updated for user: A.B-abfd2c27
2024-10-04 14:03:19 [http-nio-8080-exec-10] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: d9cc47a4-a5cf-4da8-9e11-6324e86f37cf | Response status: 200
2024-10-04 14:03:19 [http-nio-8080-exec-10] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: d9cc47a4-a5cf-4da8-9e11-6324e86f37cf completed.
2024-10-04 14:03:25 [http-nio-8080-exec-1] INFO  c.d.f.s.CustomUserDetailsService - LoadUserByUsername called with username: A.B-abfd2c27
2024-10-04 14:03:25 [http-nio-8080-exec-1] INFO  c.demo.folder.service.TrainerService - Finding Trainer by username: A.B-abfd2c27
2024-10-04 14:03:25 [http-nio-8080-exec-1] INFO  c.demo.folder.service.TrainerService - Trainer with username A.B-abfd2c27 not found.
2024-10-04 14:03:25 [http-nio-8080-exec-1] INFO  c.demo.folder.service.TraineeService - Finding Trainee by username: A.B-abfd2c27
2024-10-04 14:03:25 [http-nio-8080-exec-1] INFO  c.d.f.s.CustomUserDetailsService - Trainee found, returning UserDetails for trainee: A.B-abfd2c27
2024-10-04 14:03:28 [http-nio-8080-exec-2] INFO  c.d.f.trainsaction.TransactionFilter - Starting transaction with ID: 0c94400b-94ed-47f7-b7b9-fbbfd3c35e76
2024-10-04 14:03:28 [http-nio-8080-exec-2] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 0c94400b-94ed-47f7-b7b9-fbbfd3c35e76 | Incoming request: PUT /api/login/change-login
2024-10-04 14:03:28 [http-nio-8080-exec-2] INFO  com.demo.folder.service.UserService - Authenticating user with username: A.B-abfd2c27
2024-10-04 14:03:28 [http-nio-8080-exec-2] WARN  com.demo.folder.service.UserService - Authentication failed for username: A.B-abfd2c27
2024-10-04 14:03:28 [http-nio-8080-exec-2] WARN  c.d.f.c.i.LoginController - Invalid credentials for user: A.B-abfd2c27
2024-10-04 14:03:28 [http-nio-8080-exec-2] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 0c94400b-94ed-47f7-b7b9-fbbfd3c35e76 | Response status: 401
2024-10-04 14:03:28 [http-nio-8080-exec-2] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: 0c94400b-94ed-47f7-b7b9-fbbfd3c35e76 completed.
2024-10-04 14:03:35 [SpringApplicationShutdownHook] INFO  c.d.f.cleanup.CredentialFileCleanup - Deleted file: /Users/ilialataria/Desktop/task3_spring/gymcCRM/trainee_credentials.txt
2024-10-04 14:03:35 [SpringApplicationShutdownHook] WARN  c.d.f.cleanup.CredentialFileCleanup - File not found, cannot delete: /Users/ilialataria/Desktop/task3_spring/gymcCRM/trainer_credentials.txt
